,titles,ratings,reviews,dates,replies,reply_dates
44,J ai commandé traiteur avec entrée et…,1,"J ai commandé traiteur avec entrée et plat pour 16personnes pour le 27 .Le jour meme avant midi on m appelle pour me dire qu il y avait un souci avec ma commande: les plats principaux n avaient pas été livrés au magasin !!!!!!!!!
grâce à la gentillesse et le professionnalisme de la responsable traiteur du magasin nous avons pu trouver une solution et élaborer un plan B acceptable",2022-12-28T12:46:08.000Z,,
45,Rien reçu,1,"J'ai commandé un siège auto le 24 déc 2022 sur leclerc maison et loisir
Livraison prévu entre le 26 et 29 décembre 
Mon compte banquaire à été débité 
On est le 4 janvier 2023 toujours rien reçu
Personne répond à mes mails et quand j appel personne sait me dire pourquoi je n ai pas.le colis",2023-01-04T15:59:29.000Z,,
46,Très mitiger  espérer mieux k,3,"Commande traiteur pour menu de Noël  mitiger .
Pain surprise ,sans grand intérêt autant le faire soit même. 
Plateau de fruit de mer EXCELLENT 
viande (joue de porc) excellente  les poissons très déçu les accompagnement très bon la bûche bonne mais à laisser à température ambiante ou attendre 24h au frigo avant de consommer  et macaron bon",2022-12-29T14:16:28.000Z,,
47,Acheté plat préparé chez Leclerc pour…,1,"Acheté plat préparé chez Leclerc pour réveillon,un plat à base de St Jacques, vraiment degueulasse, berk 💩.
Pas d’autres mots.
Des espèces de boulettes molles, de hachis de « poisson « , des semblants de St Jacques, sans goût accompagnés de trompettes de la mort… 
Vraiment mauvais et le tout pour 35€ 😡😡😡",2023-01-01T18:06:42.000Z,,
48,J'ai acheté des fruits de mer et…,1,"J'ai acheté des fruits de mer et coquillage le samedi 24 décembre pour ma famille; nous les avons consommé le soir du 24 et le midi du 25 décembre et 9 personnes sur 10 ont été malades; la personne non malade n'en a pas consommé.
Le service qualité Leclerc m’a simplement dit « nous sommes désolés »",2023-01-02T19:17:46.000Z,,
49,Scandaleux,1,ATTENTION a vous leclerc la gaité annonce le parking gratuit pour un achat de 40euro. j'ai passé 20 minutes dans le magasin et me voilà à payer 4.40. Apres une explication avec la personne de parking qui entre nous inccable et de nauvaise fois de plus audience et l'accueil du magasin rien n'a eu lieu. Ne faite pas vos courses la bas en voiture des voleurs.,2022-12-27T19:59:59.000Z,,
50,C'est dommage les prix sont attractifs…,1,C'est dommage les prix sont attractifs mais il y a souvent des manques et trop de galères pour se faire rembourser,2023-02-13T10:30:55.000Z,,
51,Le tout automatique  permet il…,1,"Le tout automatique permet, il paraît, de fluidifier les choses. A tel point que les distributeurs de bouteilles de gaz ne fonctionnant pas ce jour là, je me suis retrouvée débitée de ma carte mais sans gaz. Et bien sûr, à l'accueil du Leclerc, on me retorque qu'ils ne sont que sous traitants et qu'il faut appeler Butagaz. Or, le numéro ne répond pas et devant mon insistance, on appelle le service de securite pour m éconduire comme une malpropre.",2022-12-26T18:57:59.000Z,,
52,Incompétence total,1,"Bonjour, nous avons commander une console le 25 novembre sur le site de e-leclerc et avons était remboursé le 28 décembre ! Service client déplorable,impossible de parler à un supérieur suite à des échanges incohérent à chaque appele. Aucune metrise du transport logistique. Nous ne recommanderons plus sur ce site.",2022-12-29T11:13:09.000Z,,
53,J ai acheté une bâche multi-usages 2x3…,1,J ai acheté une bâche multi-usages 2x3 réf 3219510822133 une feuille de papier ou films plastique les prix se maintient en outre l'épaisseur n'ai plus marqué dessus ne plus acheté cette référence car l'ancienne réf 3459223541185 de l'année dernière il y a bien marqué 75g/M2 elle est beaucoup plus épaisse rien à voir c'est vraiment de la m...e,2022-12-26T20:47:57.000Z,,
